european_football_2,What is the height of the tallest player? Indicate his name.,tallest player refers to MAX(height);,SELECT player_name FROM Player ORDER BY height DESC LIMIT 1,simple,"WITH temp AS (
SELECT *, 'Player: '||Player.player_name || ', Player Weight: ' || Player.weight AS key
FROM Player
)
SELECT player_name 
FROM temp
ORDER BY {{
    LLMMap(
        'Provide the player height (int).',
        'temp::key'
    )
}}
DESC LIMIT 1
"
european_football_2,What is the short name of the football team Queens Park Rangers?,short name of the football team refers to team_short_name; Queens Park Rangers refers to team_long_name = 'Queens Park Rangers';,SELECT team_short_name FROM Team WHERE team_long_name = 'Queens Park Rangers',simple,"{{
LLMQA(
    'Provide the 3 letters short team name',
    (SELECT Team.team_long_name FROM Team
        WHERE Team.team_long_name = 'Queens Park Rangers'
    )
)
}}
"
european_football_2,List the football players with a birthyear of 1970 and a birthmonth of October.,"players with a birthyear of 1970 and a birthmonth of October refers to substr(birthday,1,4) AS year, substr(birthday,6,2) AS month WHERE year = '1970' AND month = '10';","SELECT player_name FROM Player WHERE SUBSTR(birthday, 1, 7) = '1970-10'",simple,"WITH temp AS (
SELECT T1.player_name, T1.weight, 'Player Name: ' || T1.player_name || ', Weight: ' || T1.weight AS player_key
FROM Player AS T1
)
SELECT temp.player_name
FROM temp
WHERE {{
    LLMMap(
        'Is the player born in October 1970?',
        'temp::player_key'
    )
}} = TRUE
"
european_football_2,"How many matches in the 2015/2016 season were held in Scotland Premier League
?",Scotland Premier League refers to League.name = 'Scotland Premier League';,SELECT COUNT(t2.id) FROM League AS t1 INNER JOIN Match AS t2 ON t1.id = t2.league_id WHERE t2.season = '2015/2016' AND t1.name = 'Scotland Premier League',simple,"WITH temp AS (
    SELECT t1.id,
           t1.date,
           t1.season,
           hometeam.team_long_name AS home_team,
           awayteam.team_long_name AS away_team,
           'Home Team: ' || hometeam.team_long_name || ', Away Team: ' || awayteam.team_long_name || ', Date: ' || t1.date AS match_key
    FROM ""Match"" AS t1
    INNER JOIN Team AS awayteam ON t1.away_team_api_id = awayteam.team_api_id
    INNER JOIN Team AS hometeam ON t1.home_team_api_id = hometeam.team_api_id
    WHERE t1.season = '2015/2016'
), 
temp2 AS (
    SELECT *, {{
        LLMMap(
            'Provide the league name.',
            'temp::match_key'
        )
    }} AS league_name
    FROM temp
)
SELECT COUNT(temp2.id)
FROM temp2
WHERE temp2.league_name LIKE '%Scotland Premier League%'
"
european_football_2,What is the preferred foot when attacking of the youngest football player?,preferred foot when attacking refers to preferred_foot; youngest football player refers to latest birthday;,SELECT t2.preferred_foot FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id ORDER BY t1.birthday DESC LIMIT 1,simple,"WITH temp AS (
    SELECT T1.player_name,
           T1.weight,
           'Player Name: ' || T1.player_name || ', Weight: ' || T1.weight AS player_key
    FROM Player AS T1
),
temp2 AS (
    SELECT temp.player_name,
           temp.player_key,
           {{
               LLMMap(
                   'Provide the preferred foot (left or right).',
                   'temp::player_key'
               )
           }} AS preferred_foot,
           {{
               LLMMap(
                   'Provide the player__ birthday (YYYY-MM-DD).',
                   'temp::player_key'
               )
           }} AS birthday
    FROM temp
)
SELECT temp2.preferred_foot
FROM temp2
ORDER BY temp2.birthday DESC
LIMIT 1
"
european_football_2,"Among all the players whose weight is under 130, how many of them preferred foot in attacking is left?",weight < 130; preferred foot in attacking refers to preferred_foot; preferred_foot = 'left';,SELECT COUNT(DISTINCT t1.id) FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE t1.weight < 130 AND t2.preferred_foot = 'left',moderate,"WITH temp AS (
    SELECT T1.id,
           T1.player_name,
           T1.weight,
           'Player Name: ' || T1.player_name || ', Weight: ' || T1.weight AS player_key
    FROM Player AS T1
    WHERE T1.weight < 130
)
SELECT COUNT(DISTINCT id)
FROM temp WHERE {{
    LLMMap(
        'Is the player preferred foot left?',
        'temp::player_key'
    )
}} = TRUE
"
european_football_2,List the football teams that has a chance creation passing class of Risky. Inidcate its short name only.,chance creation passing class refers to chanceCreationPassingClass; chanceCreationPassingClass = 'Risky'; short name refers to team_short_name;,SELECT DISTINCT t1.team_short_name FROM Team AS t1 INNER JOIN Team_attributes AS t2 ON t1.team_api_id = t2.team_api_id WHERE t2.chanceCreationPassingClass = 'Risky',moderate,"WITH temp AS (
    SELECT t1.team_long_name,
           'Team Long Name: ' || t1.team_long_name AS team_key
    FROM Team AS t1
    INNER JOIN Team_attributes AS t2 ON t1.team_api_id = t2.team_api_id
    WHERE t2.chanceCreationPassingClass = 'Risky'
),
temp2 AS (
    SELECT temp.team_long_name,
           {{
               LLMMap(
                   'Provide the team short name (3 letters code).',
                   'temp::team_key'
               )
           }} AS team_short_name
    FROM temp
)
SELECT DISTINCT temp2.team_short_name
FROM temp2
"
european_football_2,When is the birthday of the football player who has the highest overall rating?,football player who has the highest overall rating refers to MAX(overall_rating);,SELECT t1.birthday FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id ORDER BY t2.overall_rating DESC LIMIT 1,simple,"{{
LLMQA(
    'What is the player birthday (format: YYYY-MM-DD HH:MI:SS)',
    (SELECT t1.player_name,  t1.weight
    FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id 
    ORDER BY t2.overall_rating DESC LIMIT 1)
)
}}
"
european_football_2,What is the name of the football league in the country of Netherlands?,name of the football league refers to League.name;,SELECT t2.name FROM Country AS t1 INNER JOIN League AS t2 ON t1.id = t2.country_id WHERE t1.name = 'Netherlands',simple,"WITH temp AS (
    SELECT t1.date,
           hometeam.team_long_name AS home_team,
           awayteam.team_long_name AS away_team,
           'Home Team: ' || hometeam.team_long_name || ', Away Team: ' || awayteam.team_long_name || ', Date: ' || t1.date AS match_key
    FROM ""Match"" AS t1
    INNER JOIN Team AS awayteam ON t1.away_team_api_id = awayteam.team_api_id
    INNER JOIN Team AS hometeam ON t1.home_team_api_id = hometeam.team_api_id
),
temp2 AS (
    SELECT temp.match_key,
           {{
               LLMMap(
                   'Provide the league name.',
                   'temp::match_key'
               )
           }} AS league_name,
           {{
               LLMMap(
                   'Is the match in country Netherlands?',
                   'temp::match_key'
               )
           }} AS in_Netherlands
    FROM temp
)
SELECT temp2.league_name
FROM temp2
GROUP BY temp2.league_name
HAVING in_Netherlands = 't'
"
european_football_2,Calculate the average home team goal in the 2010/2011 season in the country of Poland.,average home team goal = AVG(home_team_goal) WHERE name = 'Poland' and season = '2010/2011';,SELECT CAST(SUM(t2.home_team_goal) AS REAL) / COUNT(t2.id) FROM Country AS t1 INNER JOIN Match AS t2 ON t1.id = t2.country_id WHERE t1.name = 'Poland' AND t2.season = '2010/2011',moderate,"WITH temp AS (
    SELECT t1.id,
           t1.date,
           t1.season,
           hometeam.team_long_name AS home_team,
           awayteam.team_long_name AS away_team,
           'Home Team: ' || hometeam.team_long_name || ', Away Team: ' || awayteam.team_long_name || ', Date: ' || t1.date AS match_key
    FROM ""Match"" AS t1
    INNER JOIN Team AS awayteam ON t1.away_team_api_id = awayteam.team_api_id
    INNER JOIN Team AS hometeam ON t1.home_team_api_id = hometeam.team_api_id
    WHERE t1.season = '2010/2011'
),
temp2 AS (
    SELECT temp.match_key,
           temp.id,
           {{
               LLMMap(
                   'Provide the home team goals.',
                   'temp::match_key'
               )
           }} AS home_team_goal,
           {{
               LLMMap(
                   'Is the match in country Poland.',
                   'temp::match_key'
               )
           }} AS in_Poland
    FROM temp
)
SELECT CAST(SUM(temp2.home_team_goal) AS REAL) / COUNT(temp2.id) AS avg_home_goals
FROM temp2
WHERE temp2.in_Poland = 't';
"
european_football_2,Who has the highest average finishing rate between the highest and shortest football player?,finishing rate refers to finishing; highest average finishing rate = MAX(AVG(finishing)); highest football player refers to MAX(height); shortest football player refers to MIN(height);,"SELECT A FROM ( SELECT AVG(finishing) result, 'Max' A FROM Player AS T1 INNER JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id WHERE T1.height = ( SELECT MAX(height) FROM Player ) UNION SELECT AVG(finishing) result, 'Min' A FROM Player AS T1 INNER JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id WHERE T1.height = ( SELECT MIN(height) FROM Player ) ) ORDER BY result DESC LIMIT 1",challenging,"WITH player_key AS (
    SELECT T1.player_name,
           T1.player_api_id,
           'Player Name: ' || T1.player_name AS player_key
    FROM Player AS T1
),
temp AS (
    SELECT *,
           {{
               LLMMap(
                   'Provide the height in cm.',
                   'player_key::player_key'
               )
           }} AS height
    FROM player_key
)
SELECT A 
FROM (
    SELECT AVG(T3.finishing) AS result, 'Max' AS A 
    FROM Player AS T1
    INNER JOIN Player_Attributes AS T3 ON T1.player_api_id = T3.player_api_id
    WHERE T1.height = (SELECT MAX(height) FROM temp)
    
    UNION

    SELECT AVG(T3.finishing) AS result, 'Min' AS A 
    FROM Player AS T1
    INNER JOIN Player_Attributes AS T3 ON T1.player_api_id = T3.player_api_id
    WHERE T1.height = (SELECT MIN(height) FROM temp)
) AS result_table
ORDER BY result DESC 
LIMIT 1;
"
european_football_2,Please list player names which are higher than 180.,height>180;,SELECT player_name FROM Player WHERE height > 180,simple,"WITH temp AS (
    SELECT T1.player_name,
           T1.weight,
           'Player Name: ' || T1.player_name || ', Weight: ' || T1.weight AS player_key
    FROM Player AS T1
)
SELECT temp.player_name
FROM temp
WHERE {{
    LLMMap(
        'Is player taller than 180cm?'
        'temp::player_key'
    )
}} = TRUE
"
european_football_2,How many players were born after 1990?,"born after 1990 refers to strftime('%Y', birthday) = '1990';","SELECT COUNT(id) FROM Player WHERE STRFTIME('%Y', birthday) > '1990'",simple,"WITH temp AS (
    SELECT T1.player_name,
           T1.id,
           'Player Name: ' || T1.player_name || ', Weight: ' || T1.weight AS player_key
    FROM Player AS T1
)
SELECT COUNT(id)
FROM temp
WHERE {{
    LLMMap(
        'Is player born after 1990?'
        'temp::player_key'
    )
}} = TRUE
"
european_football_2,List out of players whose preferred foot is left.,preferred_foot = 'left';,"SELECT DISTINCT t1.id, t1.player_name FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE t2.preferred_foot = 'left'",simple,"WITH temp AS (
    SELECT T1.player_name,
           T1.id,
           'Player Name: ' || T1.player_name || ', Weight: ' || T1.weight AS player_key
    FROM Player AS T1
)
SELECT DISTINCT id, player_name 
FROM temp
WHERE {{
    LLMMap(
        'Is player preferred foot left'
        'temp::player_key'
    )
}} = TRUE
"
european_football_2,Please list all team short names which the speed class is fast.,team names refers to team_long_name; speed class refers to buildUpPlaySpeedClass; buildUpPlaySpeedClass = 'Fast';,SELECT DISTINCT t1.team_short_name FROM Team AS t1 INNER JOIN Team_Attributes AS t2 ON t1.team_api_id = t2.team_api_id WHERE t2.buildUpPlaySpeedClass = 'Fast',simple,"WITH team_key AS (
    SELECT t1.team_long_name, 'Team Long Name: ' || t1.team_long_name AS team_key
    FROM Team AS t1
    INNER JOIN Team_Attributes AS t2 ON t1.team_api_id = t2.team_api_id
    WHERE t2.buildUpPlaySpeedClass = 'Fast'
),
temp AS (
    SELECT *,
           {{
               LLMMap(
                   'Provide the 3 letters team short name.',
                   'team_key::team_key'
               )
           }} AS team_short_name
    FROM team_key
)
SELECT DISTINCT temp.team_short_name
FROM temp;
"
european_football_2,What is the passing class of CLB team?,passing class refers to buildUpPlayPassingClass; CLB refers to team_short_name = 'CLB';,SELECT DISTINCT t2.buildUpPlayPassingClass FROM Team AS t1 INNER JOIN Team_Attributes AS t2 ON t1.team_api_id = t2.team_api_id WHERE t1.team_short_name = 'CLB',simple,"WITH team_key AS (
    SELECT t1.team_long_name, t2.buildUpPlayPassingClass, 'Team Long Name: ' || t1.team_long_name AS team_key
    FROM Team AS t1
    INNER JOIN Team_Attributes AS t2 ON t1.team_api_id = t2.team_api_id
    WHERE t2.buildUpPlaySpeedClass = 'Fast'
),
temp AS (
    SELECT *,
           {{
               LLMMap(
                   'Provide the 3 letters team short name.',
                   'team_key::team_key'
               )
           }} AS team_short_name
    FROM team_key
)
SELECT DISTINCT temp.buildUpPlayPassingClass
FROM temp
WHERE temp.team_short_name = 'CLB'
"
european_football_2,Which football player has the shortest height?,shortest height refers to MIN(height);,SELECT player_name FROM player ORDER BY height ASC LIMIT 1,simple,"WITH player_key AS (
    SELECT T1.player_name,
           'Player Name: ' || T1.player_name AS player_key
    FROM Player AS T1
),
temp AS (
    SELECT *,
           {{
               LLMMap(
                   'Provide the height in cm.',
                   'player_key::player_key'
               )
           }} AS height
    FROM player_key
)
SELECT temp.player_name
FROM temp
ORDER BY temp.height ASC
LIMIT 1;
"
european_football_2,Which teams have build up play passing more than 70? Please list their short names.,build up play passing refers to buildUpPlayPassing; buildUpPlayPassing > 70; short names refers to team_short_name;,SELECT DISTINCT t1.team_short_name FROM Team AS t1 INNER JOIN Team_Attributes AS t2 ON t1.team_api_id = t2.team_api_id WHERE t2.buildUpPlayPassing > 70,moderate,"WITH team_key AS (
    SELECT t1.team_long_name, t2.buildUpPlayPassing, 'Team Long Name: ' || t1.team_long_name AS team_key
    FROM Team AS t1
    INNER JOIN Team_Attributes AS t2 ON t1.team_api_id = t2.team_api_id
    WHERE t2.buildUpPlaySpeedClass = 'Fast'
),
temp AS (
    SELECT team_key.buildUpPlayPassing,
           {{
               LLMMap(
                   'Provide the 3 letters team short name.',
                   'team_key::team_key'
               )
           }} AS team_short_name
    FROM team_key
)
SELECT DISTINCT temp.team_short_name 
FROM temp
WHERE temp.buildUpPlayPassing > 70
"
european_football_2,"From 2010 to 2015, what was the average overall rating of players who are higher than 170?","from 2010 to 2015 refers to strftime('%Y', date) BETWEEN '2010' AND '2015'; height > 170;","SELECT CAST(SUM(t2.overall_rating) AS REAL) / COUNT(t2.id) FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE t1.height > 170 AND SUBSTR(t2.`date`, 1, 4) BETWEEN '2010' AND '2015'",moderate,"WITH temp AS (
    SELECT *, 'Player: ' || Player.player_name || ', Player Weight: ' || Player.weight AS key
    FROM Player
),
temp2 AS (
    SELECT t2.id, t2.overall_rating, {{
        LLMMap(
            'Provide the player height (int).',
            'temp::key'
        )
    }} AS height
    FROM temp INNER JOIN Player_Attributes AS t2 ON temp.player_api_id = t2.player_api_id
    WHERE SUBSTR(t2.`date`, 1, 4) BETWEEN '2010' AND '2015'
)
SELECT CAST(SUM(temp2.overall_rating) AS REAL) / COUNT(temp2.id)
FROM temp2
WHERE temp2.height > 179
"
european_football_2,Which country is the league Italy Serie A from?,Italy Serie A from refers to League.name = 'Italy Serie A';,SELECT t1.name FROM Country AS t1 INNER JOIN League AS t2 ON t1.id = t2.country_id WHERE t2.name = 'Italy Serie A',simple,"{{
    LLMQA('Which country is the league Italy Serie A from?',
        context=(SELECT ""Italy Serie A"")
    )
}}"
